                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.2818,                0.91237,                 1.2448,                0.74659,                0.61451,                0.66456,                 0.4738,                  1.256,                 0.8896,                 1.3164,               0.008053,               0.008053,               0.008053
                     61,                 1.2874,                0.91429,                 1.2471,                0.77105,                0.60553,                0.66638,                0.47526,                 1.2554,                0.88794,                 1.3151,                0.00802,                0.00802,                0.00802
                     62,                 1.2831,                0.90449,                 1.2422,                0.78097,                0.60023,                0.66729,                0.47653,                 1.2539,                0.88519,                 1.3131,               0.007987,               0.007987,               0.007987
                     63,                 1.2757,                0.90229,                 1.2404,                0.76738,                0.61683,                0.66527,                0.47351,                 1.2514,                 0.8838,                 1.3107,               0.007954,               0.007954,               0.007954
                     64,                 1.2754,                0.90257,                 1.2399,                0.77162,                0.61078,                0.66653,                0.47429,                 1.2485,                0.88214,                 1.3086,               0.007921,               0.007921,               0.007921
                     65,                 1.2758,                0.89041,                 1.2332,                0.76355,                 0.6097,                0.66798,                0.47687,                 1.2451,                0.87992,                 1.3055,               0.007888,               0.007888,               0.007888
                     66,                 1.2711,                0.89096,                 1.2332,                0.77671,                 0.6159,                0.66861,                0.47736,                 1.2442,                0.87871,                 1.3039,               0.007855,               0.007855,               0.007855
                     67,                 1.2747,                0.88936,                 1.2333,                0.77561,                  0.622,                0.67125,                0.47825,                  1.243,                0.87718,                 1.3027,               0.007822,               0.007822,               0.007822
                     68,                 1.2698,                0.88416,                 1.2345,                0.77792,                0.62358,                0.67324,                0.48088,                 1.2406,                0.87458,                 1.3012,               0.007789,               0.007789,               0.007789
                     69,                 1.2611,                0.88169,                 1.2293,                0.77654,                0.61447,                0.67531,                0.48339,                 1.2396,                0.87204,                 1.3005,               0.007756,               0.007756,               0.007756
                     70,                 1.2647,                 0.8861,                 1.2315,                0.78273,                0.61882,                0.67627,                 0.4831,                 1.2384,                 0.8692,                 1.2994,               0.007723,               0.007723,               0.007723
                     71,                 1.2569,                0.87108,                 1.2253,                0.79642,                0.61729,                0.67947,                0.48464,                 1.2369,                0.86673,                 1.2978,                0.00769,                0.00769,                0.00769
                     72,                 1.2605,                0.87053,                 1.2276,                0.79601,                0.61729,                0.68051,                0.48666,                 1.2351,                0.86498,                 1.2961,               0.007657,               0.007657,               0.007657
                     73,                 1.2551,                0.86578,                  1.221,                0.78804,                0.61965,                0.68303,                0.49005,                 1.2335,                0.86246,                 1.2944,               0.007624,               0.007624,               0.007624
                     74,                 1.2562,                0.87349,                 1.2184,                0.80008,                0.60961,                0.68333,                0.49115,                 1.2328,                0.86016,                 1.2934,               0.007591,               0.007591,               0.007591
                     75,                 1.2512,                0.86022,                 1.2148,                0.81497,                 0.6166,                0.68456,                0.49251,                 1.2321,                0.85818,                 1.2923,               0.007558,               0.007558,               0.007558
                     76,                 1.2495,                0.86281,                 1.2147,                0.81694,                0.61674,                 0.6853,                0.49378,                  1.231,                0.85626,                 1.2913,               0.007525,               0.007525,               0.007525
